data,LOCAL,BAIRRO,ESPECIE,cirurgia_realizada
2024-02-28,antares,santa cruz,canino_m,sim
2024-02-28,antares,santa cruz,felino_m,sim
2024-02-29,antares,santa cruz,felino_f,nao
2024-02-29,antares,santa cruz,felino_m,nao
2024-02-29,antares,santa cruz,canino_m,nao
2024-02-29,antares,santa cruz,canino_m,nao
2024-02-29,antares,antares,canino_m,nao
2024-02-29,antares,antares,canino_m,nao
2024-02-29,antares,santa cruz,felino_f,nao
2024-02-29,antares,antares,felino_m,nao
2024-02-29,antares,antares,felino_f,nao
2024-02-29,antares,santa cruz,canino_f,sim
2024-02-29,antares,santa cruz,canino_f,sim
2024-02-29,antares,santa cruz,felino_f,sim
2024-02-29,antares,santa cruz,felino_m,sim
2024-02-29,antares,santa cruz,canino_m,sim
2024-02-29,antares,santa cruz,felino_f,sim
2024-02-29,antares,santa cruz,felino_f,sim
2024-03-01,piedade,piedade,canino_m,nao
2024-03-01,piedade,piedade,felino_f,nao
2024-03-01,piedade,piedade,felino_f,nao
2024-03-01,antares,santa cruz,canino_m,nao
2024-03-01,antares,antares,canino_f,nao
2024-03-01,antares,santa cruz,felino_m,nao
2024-03-01,antares,antares,felino_m,nao
2024-03-01,antares,antares,canino_f,nao
2024-03-01,antares,santa cruz,felino_f,nao
2024-03-01,antares,santa cruz,felino_f,nao
2024-03-01,antares,santa cruz,canino_m,nao
2024-03-01,antares,santa cruz,felino_f,sim
2024-03-01,antares,santa cruz,felino_m,sim
2024-03-01,antares,santa cruz,felino_f,sim
2024-03-01,antares,santa cruz,canino_f,sim
2024-03-01,antares,santa cruz,canino_f,sim
2024-03-01,antares,santa cruz,canino_f,sim
2024-03-01,antares,santa cruz,felino_m,sim
2024-03-01,antares,santa cruz,felino_f,sim
2024-03-04,antares,santa cruz,felino_m,nao
2024-03-04,antares,santa cruz,felino_f,nao
2024-03-04,antares,santa cruz,canino_f,nao
2024-03-04,antares,antares,felino_f,nao
2024-03-04,antares,santa cruz,canino_f,nao
2024-03-04,antares,antares,canino_f,nao
2024-03-04,antares,antares,canino_m,nao
2024-03-04,antares,antares,canino_f,nao
2024-03-04,antares,antares,canino_f,nao
2024-03-04,antares,santa cruz,felino_f,nao
2024-03-04,antares,antares,felino_m,nao
2024-03-04,antares,santa cruz,felino_m,nao
2024-03-04,antares,santa cruz,canino_f,sim
2024-03-04,antares,santa cruz,canino_f,sim
2024-03-04,antares,santa cruz,felino_f,sim
2024-03-04,antares,santa cruz,felino_m,sim
2024-03-05,antares,santa cruz,felino_m,nao
2024-03-05,antares,antares,felino_f,nao
2024-03-05,antares,santa cruz,canino_m,nao
2024-03-05,antares,santa cruz,felino_f,nao
2024-03-05,antares,santa cruz,felino_m,nao
2024-03-05,antares,santa cruz,canino_f,sim
2024-03-05,antares,santa cruz,canino_f,nao
2024-03-05,antares,santa cruz,canino_f,nao
2024-03-05,antares,santa cruz,canino_f,sim
2024-03-05,antares,santa cruz,felino_f,sim
2024-03-05,antares,santa cruz,canino_f,sim
2024-03-05,antares,santa cruz,canino_m,sim
2024-03-05,antares,santa cruz,canino_m,sim
2024-03-05,antares,santa cruz,felino_f,sim
2024-03-05,antares,santa cruz,felino_f,sim
2024-03-05,antares,santa cruz,felino_m,sim
2024-03-05,antares,santa cruz,canino_f,nao
2024-03-06,antares,santa cruz,felino_f,nao
2024-03-06,antares,santa cruz,canino_f,nao
2024-03-06,antares,santa cruz,canino_m,nao
2024-03-06,antares,santa cruz,canino_m,nao
2024-03-06,antares,santa cruz,canino_f,nao
2024-03-06,antares,santa cruz,felino_f,nao
2024-03-06,antares,santa cruz,canino_f,sim
2024-03-06,antares,santa cruz,canino_f,sim
2024-03-06,antares,santa cruz,felino_m,sim
2024-03-06,antares,bento ribeiro,canino_f,sim
2024-03-06,antares,santa cruz,felino_m,sim
2024-03-06,antares,santa cruz,canino_m,nao
2024-03-06,antares,santa cruz,felino_f,sim
2024-03-06,antares,santa cruz,felino_f,nao
2024-03-06,antares,santa cruz,felino_f,nao
2024-03-06,antares,santa cruz,felino_f,sim
2024-03-07,antares,santa cruz,canino_f,nao
2024-03-07,antares,santa cruz,canino_f,nao
2024-03-07,antares,santa cruz,felino_f,nao
2024-03-07,antares,santa cruz,canino_f,nao
2024-03-07,antares,santa cruz,felino_f,nao
2024-03-07,antares,santa cruz,felino_f,nao
2024-03-07,antares,santa cruz,canino_m,nao
2024-03-07,antares,santa cruz,felino_m,nao
2024-03-07,antares,santa cruz,canino_f,sim
2024-03-07,antares,santa cruz,felino_f,sim
2024-03-07,antares,santa cruz,canino_m,nao
2024-03-07,antares,santa cruz,canino_m,sim
2024-03-07,antares,santa cruz,felino_f,sim
2024-03-08,antares,santa cruz,felino_f,nao
2024-03-08,antares,santa cruz,felino_f,nao
2024-03-08,antares,santa cruz,felino_f,nao
2024-03-08,antares,santa cruz,felino_f,nao
2024-03-08,antares,santa cruz,felino_f,nao
2024-03-08,antares,santa cruz,felino_m,sim
2024-03-08,antares,santa cruz,felino_m,nao
2024-03-08,antares,santa cruz,canino_f,nao
2024-03-08,antares,santa cruz,canino_m,nao
2024-03-08,antares,santa cruz,canino_m,nao
2024-03-08,antares,santa cruz,canino_m,sim
2024-03-08,antares,santa cruz,felino_m,sim
2024-03-08,antares,santa cruz,canino_f,sim
2024-03-08,antares,santa cruz,canino_f,sim
2024-03-08,antares,santa cruz,canino_f,sim
2024-03-08,antares,santa cruz,canino_f,sim
2024-03-11,piedade,piedade,canino_f,nao
2024-03-11,piedade,piedade,canino_f,nao
2024-03-11,piedade,piedade,canino_m,nao
2024-03-11,antares,santa cruz,felino_m,nao
2024-03-11,antares,santa cruz,felino_f,nao
2024-03-11,antares,antares,canino_m,nao
2024-03-11,antares,sepetiba,canino_f,nao
2024-03-11,antares,santa cruz,canino_f,nao
2024-03-11,piedade,piedade,felino_m,nao
2024-03-11,piedade,cascadura,canino_f,nao
2024-03-11,piedade,piedade,canino_m,nao
2024-03-11,piedade,cascadura,canino_f,nao
2024-03-11,piedade,piedade,canino_f,nao
2024-03-11,piedade,cascadura,felino_m,nao
2024-03-11,piedade,abolicao,canino_f,nao
2024-03-11,piedade,piedade,canino_f,nao
2024-03-11,piedade,praca seca,canino_m,nao
2024-03-11,piedade,piedade,felino_f,nao
2024-03-11,piedade,piedade,canino_m,nao
2024-03-11,piedade,piedade,canino_m,nao
2024-03-11,piedade,piedade,felino_f,nao
2024-03-11,piedade,piedade,canino_f,nao
2024-03-11,piedade,piedade,felino_f,nao
2024-03-11,piedade,piedade,canino_m,nao
2024-03-11,piedade,piedade,felino_m,nao
2024-03-11,piedade,piedade,felino_f,nao
2024-03-11,piedade,tomas coelho,canino_m,nao
2024-03-11,piedade,piedade,felino_f,nao
2024-03-11,piedade,piedade,canino_m,nao
2024-03-11,piedade,piedade,canino_f,nao
2024-03-11,piedade,piedade,canino_f,nao
2024-03-11,piedade,piedade,canino_m,nao
2024-03-11,piedade,piedade,canino_m,nao
2024-03-11,piedade,piedade,canino_f,nao
2024-03-11,piedade,tomas coelho,canino_m,nao
2024-03-11,piedade,piedade,felino_f,nao
2024-03-11,piedade,piedade,canino_f,nao
2024-03-11,piedade,piedade,canino_m,nao
2024-03-11,piedade,piedade,canino_m,nao
2024-03-11,piedade,piedade,canino_m,nao
2024-03-11,piedade,cachambi,canino_f,nao
2024-03-11,piedade,piedade,canino_f,nao
2024-03-11,antares,santa cruz,felino_f,sim
2024-03-11,antares,santa cruz,canino_f,sim
2024-03-11,antares,santa cruz,canino_f,sim
2024-03-11,antares,santa cruz,canino_m,sim
2024-03-11,antares,santa cruz,canino_f,sim
2024-03-11,antares,santa cruz,canino_f,nao
