,data,LOCAL,BAIRRO,ESPECIE,cirurgia_realizada,count
204,2024-03-11,antares,santa cruz,canino_f,nao,0.4
205,2024-03-11,piedade,piedade,felino_m,nao,0.4
206,2024-03-11,piedade,tomas coelho,canino_m,nao,0.4
207,2024-03-11,piedade,cascadura,canino_f,nao,0.4
208,2024-03-11,antares,santa cruz,canino_m,sim,0.4
209,2024-03-11,antares,santa cruz,felino_m,sim,0.4
210,2024-03-11,piedade,praca seca,canino_m,nao,0.2
211,2024-03-11,piedade,cascadura,felino_m,nao,0.2
212,2024-03-11,piedade,cachambi,canino_f,nao,0.2
213,2024-03-11,piedade,abolicao,canino_f,nao,0.2
214,2024-03-11,antares,sepetiba,canino_f,nao,0.2
215,2024-03-11,antares,santa cruz,felino_m,nao,0.2
216,2024-03-11,antares,santa cruz,felino_f,nao,0.2
217,2024-03-11,antares,antares,canino_m,nao,0.2
218,2024-03-12,antares,santa cruz,canino_f,nao,0.8
219,2024-03-12,antares,santa cruz,felino_m,sim,0.6
220,2024-03-12,antares,santa cruz,canino_m,sim,0.6
221,2024-03-12,antares,santa cruz,canino_f,sim,0.4
222,2024-03-12,antares,santa cruz,felino_m,nao,0.4
223,2024-03-12,antares,santa cruz,felino_f,sim,0.2
224,2024-03-12,antares,santa cruz,felino_f,nao,0.2
225,2024-03-12,antares,santa cruz,canino_m,nao,0.2
226,2024-03-13,antares,santa cruz,canino_f,nao,0.6
227,2024-03-13,antares,santa cruz,felino_m,nao,0.4
228,2024-03-13,antares,santa cruz,felino_f,sim,0.4
229,2024-03-13,antares,santa cruz,canino_m,sim,0.4
230,2024-03-13,antares,santa cruz,canino_m,nao,0.4
231,2024-03-13,antares,santa cruz,felino_m,sim,0.2
232,2024-03-13,antares,santa cruz,canino_f,sim,0.2
233,2024-03-14,antares,santa cruz,canino_f,sim,1.0
234,2024-03-14,antares,santa cruz,felino_f,nao,1.0
235,2024-03-14,antares,santa cruz,canino_m,nao,1.0
236,2024-03-14,piedade,santa cruz,canino_m,sim,0.2
237,2024-03-14,antares,santa cruz,felino_m,sim,0.2
238,2024-03-15,antares,santa cruz,felino_f,sim,0.8
239,2024-03-15,antares,santa cruz,canino_m,nao,0.6
240,2024-03-15,antares,santa cruz,felino_m,sim,0.4
241,2024-03-15,antares,santa cruz,canino_f,nao,0.4
242,2024-03-15,piedade,santa cruz,felino_f,sim,0.2
243,2024-03-15,antares,santa cruz,felino_m,nao,0.2
244,2024-03-15,antares,santa cruz,felino_f,nao,0.2
245,2024-03-15,antares,santa cruz,canino_f,sim,0.2
246,2024-03-18,antares,santa cruz,canino_m,sim,0.8
247,2024-03-18,antares,santa cruz,felino_f,sim,0.6
248,2024-03-18,antares,santa cruz,canino_f,sim,0.4
249,2024-03-18,antares,santa cruz,felino_m,sim,0.4
250,2024-03-18,antares,santa cruz,canino_f,nao,0.4
251,2024-03-18,antares,santa cruz,felino_m,nao,0.2
252,2024-03-18,antares,santa cruz,felino_f,nao,0.2
253,2024-03-19,antares,santa cruz,felino_m,sim,1.0
254,2024-03-19,antares,santa cruz,felino_f,sim,0.6
255,2024-03-19,antares,santa cruz,felino_f,nao,0.6
256,2024-03-19,antares,santa cruz,canino_f,nao,0.4
257,2024-03-19,antares,santa cruz,canino_f,sim,0.4
258,2024-03-19,antares,santa cruz,felino_m,nao,0.2
259,2024-03-19,antares,santa cruz,canino_m,nao,0.2
